Article_number	Study	Autor 	Title	Journal	Year_publication	Country	ClimaticZone	Continent	Year_sampling	Sampling_method	NativeHabitat	DisturbedHabitat	FunctionalGroup	Response
1	3	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Pasture	Arboreal	1
1	3	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Pasture	Army ants 	-1
1	3	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Pasture	Fungus-growing	-1
1	3	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Pasture	Generalists	1
1	3	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Pasture	Predators	-1
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Dominant Dolichoderinae	1
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Generalized Myrmicinae	-1
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Opportunists	1
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Subordinate Camponotini	0
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Hot-climate specialists	NA
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Cold-climate specialists	0
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Tropical-climate specialists	-1
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Cryptic species	0
2	4	"Lawes, Michael J.; Moore, Anthony M.; Andersen, Alan N.; Preece, Noel D.; Franklin, Donald C."	Ants as ecological indicators of rainforest restoration: Community convergence and the development of an Ant Forest Indicator Index in the Australian wet tropics	ECOLOGY AND EVOLUTION	2017	Australia	Tropical	Oceania	2009	Pitfall traps/ Baited subterranean traps (Baited Eppendorf tubes)/ Baited Arboreal pitfall traps/ Leaf litter samples - Winkler	Tropical and subtropical rainforest	Pasture	Predators	-1
3	5	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited pitfall traps	Savanna	Polyculture	Arboreal	-1
3	5	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited pitfall traps	Savanna	Polyculture	Fungus-growing	-1
3	5	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited pitfall traps	Savanna	Polyculture	Army ants 	-1
3	5	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited pitfall traps	Savanna	Polyculture	Predators	-1
3	5	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited pitfall traps	Savanna	Polyculture	Cryptic species	-1
3	5	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited pitfall traps	Savanna	Polyculture	Generalists	-1
3	6	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited subterranean traps (Conventional pitfall traps)	Savanna	Polyculture	Arboreal	0
3	6	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited subterranean traps (Conventional pitfall traps)	Savanna	Polyculture	Fungus-growing	0
3	6	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited subterranean traps (Conventional pitfall traps)	Savanna	Polyculture	Army ants 	-1
3	6	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited subterranean traps (Conventional pitfall traps)	Savanna	Polyculture	Predators	0
3	6	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited subterranean traps (Conventional pitfall traps)	Savanna	Polyculture	Cryptic species	0
3	6	"Pacheco, Renata; Camacho, Gabriela P.; Frizzo, Tiago L. M.; Vasconcelos, Heraldo L."	Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2017	Brazil	Tropical	South America	2008 and 2009	Baited subterranean traps (Conventional pitfall traps)	Savanna	Polyculture	Generalists	-1
4	7	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Generalists	-1
4	7	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Fungus-growing	-1
4	7	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Predators	-1
4	7	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Predators	-1
4	8	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Soil samples - Berlese-Tullgren funnels	Tropical and subtropical rainforest	Monoculture	Generalists	-1
4	8	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Soil samples - Berlese-Tullgren funnels	Tropical and subtropical rainforest	Monoculture	Fungus-growing	NA
4	8	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Soil samples - Berlese-Tullgren funnels	Tropical and subtropical rainforest	Monoculture	Predators	NA
4	8	"Saad, L. P.; Souza-Campana, D. R.; Bueno, O. C.; Morini, M. S. C."	Vinasse and Its Influence on Ant (Hymenoptera: Formicidae) Communities in Sugarcane Crops	JOURNAL OF INSECT SCIENCE	2017	Brazil	Tropical	South America	2013 and 2014	Soil samples - Berlese-Tullgren funnels	Tropical and subtropical rainforest	Monoculture	Predators	-1
5	9	"Lu, Zhixing; Hoffmann, Benjamin D.; Chen, Youqing"	Can reforested and plantation habitats effectively conserve SW China's ant biodiversity?	BIODIVERSITY AND CONSERVATION	2016	China	Tropical	Asia	2006, 2008, 2009, 2011	Pitfall traps/ Sweep netting and foliage shaking	Tropical and subtropical rainforest	Agroforestry	Dominant Dolichoderinae	NA
5	9	"Lu, Zhixing; Hoffmann, Benjamin D.; Chen, Youqing"	Can reforested and plantation habitats effectively conserve SW China's ant biodiversity?	BIODIVERSITY AND CONSERVATION	2016	China	Tropical	Asia	2006, 2008, 2009, 2011	Pitfall traps/ Sweep netting and foliage shaking	Tropical and subtropical rainforest	Agroforestry	Generalized Myrmicinae	-1
5	9	"Lu, Zhixing; Hoffmann, Benjamin D.; Chen, Youqing"	Can reforested and plantation habitats effectively conserve SW China's ant biodiversity?	BIODIVERSITY AND CONSERVATION	2016	China	Tropical	Asia	2006, 2008, 2009, 2011	Pitfall traps/ Sweep netting and foliage shaking	Tropical and subtropical rainforest	Agroforestry	Opportunists	-1
5	9	"Lu, Zhixing; Hoffmann, Benjamin D.; Chen, Youqing"	Can reforested and plantation habitats effectively conserve SW China's ant biodiversity?	BIODIVERSITY AND CONSERVATION	2016	China	Tropical	Asia	2006, 2008, 2009, 2011	Pitfall traps/ Sweep netting and foliage shaking	Tropical and subtropical rainforest	Agroforestry	Subordinate Camponotini	-1
5	9	"Lu, Zhixing; Hoffmann, Benjamin D.; Chen, Youqing"	Can reforested and plantation habitats effectively conserve SW China's ant biodiversity?	BIODIVERSITY AND CONSERVATION	2016	China	Tropical	Asia	2006, 2008, 2009, 2011	Pitfall traps/ Sweep netting and foliage shaking	Tropical and subtropical rainforest	Agroforestry	Cryptic species	-1
5	9	"Lu, Zhixing; Hoffmann, Benjamin D.; Chen, Youqing"	Can reforested and plantation habitats effectively conserve SW China's ant biodiversity?	BIODIVERSITY AND CONSERVATION	2016	China	Tropical	Asia	2006, 2008, 2009, 2011	Pitfall traps/ Sweep netting and foliage shaking	Tropical and subtropical rainforest	Agroforestry	Predators	1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Dominant Dolichoderinae	NA
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Generalized Myrmicinae	1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Opportunists	-1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Subordinate Camponotini	1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Tropical-climate specialists	-1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Hot-climate specialists	-1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Cryptic species	-1
6	10	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Predators	-1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Dominant Dolichoderinae	NA
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Generalized Myrmicinae	1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Opportunists	-1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Subordinate Camponotini	-1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Tropical-climate specialists	-1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Hot-climate specialists	-1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Cryptic species	1
6	11	"Parui, Arpan Kumar; Chatterjee, Soumik; Basu, Parthiba"	Habitat characteristics shaping ant species assemblages in a mixed deciduous forest in Eastern India	JOURNAL OF TROPICAL ECOLOGY	2015	India	Tropical	Asia	2010 and 2012	Pitfall traps	Tropical dry forest	Monoculture	Predators	1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Arboreal	-1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Army ants 	-1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Cryptic species	-1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Generalized Myrmicinae	1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Opportunists	1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Subordinate Camponotini	1
7	12	"Kuate, Apollin Fotso; Hanna, Rachid; Tindo, Maurice; Nanga, Samuel; Nagel, Peter"	Ant Diversity in Dominant Vegetation Types of Southern Cameroon	BIOTROPICA	2015	Cameroon	Tropical	Africa	2007 and 2008	Pitfall traps/ Quadrat sampling(Insect Vacuum and mouth aspirator)/ Bait	Tropical and subtropical rainforest	Polyculture	Predators	-1
8	13	"Kone, Mouhamadou; Konate, Souleymane; Yeo, Kolo; Kouassi, Philippe Kouassi; Linsenmair, K. Eduard"	Changes in ant communities along an age gradient of cocoa cultivation in the Oume region, central Cote d'Ivoire	ENTOMOLOGICAL SCIENCE	2012	Cte d?Ivoire	Tropical	Africa	2008	Leaf litter samples - Winkler/ Pitfall traps/ Monolith method/ Hand collection	Tropical and subtropical rainforest	Agroforestry	Predators	-1
